Date,#,Job ID,Project,Language,Source Language,Connector,Method,Status,Created,Content Add Start,Content Add End,InProgress,ReadyForReview,Approved/Error,Content Gathering (ms),Content Gathering,Created→InProg (ms),Created→InProg,InProg→Ready (ms),InProg→Ready,Ready→Approved (ms),Ready→Approved,Total Duration (ms),Total Duration,Content Objects,Content Size,Errors,Retries,Retry Detail
2026-03-17,1,translationjob142,Ignacio Ai Translation Project,DE-DE,es_es,rmcf-ai-translatorion-connector,MACHINE_TRANSLATION,APPROVED,01:35:07.803,01:35:07.818,01:35:24.456,01:35:45.003,01:35:45.041,01:35:45.219,16638,16.6s,37200,37.2s,38,0.0s,178,0.2s,37416,37.4s,"page:0, asset:0, contentFragment:4, i18nComponentStringDict:0, assetMetaData:0, tagMetadata:0, tag:0",1,,,
2026-03-17,2,translationjob143,Ignacio Ai Translation Project,PT-PT,es_es,rmcf-ai-translatorion-connector,MACHINE_TRANSLATION,APPROVED,01:35:55.782,01:35:55.793,01:36:12.977,01:36:34.213,01:36:34.251,01:36:34.424,17184,17.2s,38431,38.4s,38,0.0s,173,0.2s,38642,38.6s,"page:0, asset:0, contentFragment:4, i18nComponentStringDict:0, assetMetaData:0, tagMetadata:0, tag:0",1,,,
2026-03-17,3,translationjob144,Ignacio Ai Translation Project,EN-US,es_es,rmcf-ai-translatorion-connector,MACHINE_TRANSLATION,APPROVED,01:36:47.251,01:36:47.264,01:37:44.967,01:38:06.891,01:38:06.950,01:38:07.195,57703,57.7s,79640,1m 19.6s,59,0.1s,245,0.2s,79944,1m 19.9s,"page:0, asset:0, contentFragment:5, i18nComponentStringDict:0, assetMetaData:0, tagMetadata:0, tag:0",1,,,
2026-03-17,4,translationjob145,Ignacio Ai Translation Project,AR-AE,es_es,rmcf-ai-translatorion-connector,MACHINE_TRANSLATION,APPROVED,01:38:24.864,01:38:24.877,01:38:40.797,01:38:59.982,01:39:00.021,01:39:00.187,15920,15.9s,35118,35.1s,39,0.0s,166,0.2s,35323,35.3s,"page:0, asset:0, contentFragment:4, i18nComponentStringDict:0, assetMetaData:0, tagMetadata:0, tag:0",1,,,
2026-03-17,5,translationjob146,Ignacio Ai Translation Project,FR-FR,es_es,rmcf-ai-translatorion-connector,MACHINE_TRANSLATION,APPROVED,01:39:11.457,01:39:11.470,01:39:27.446,01:39:53.430,01:39:53.473,01:39:53.632,15976,16.0s,41973,42.0s,43,0.0s,159,0.2s,42175,42.2s,"page:0, asset:0, contentFragment:4, i18nComponentStringDict:0, assetMetaData:0, tagMetadata:0, tag:0",1,,,
2026-03-17,6,translationjob147,Ignacio Ai Translation Project,JA-JP,es_es,rmcf-ai-translatorion-connector,MACHINE_TRANSLATION,APPROVED,01:40:04.332,01:40:04.345,01:40:22.123,01:40:46.786,01:40:46.820,01:40:46.991,17778,17.8s,42454,42.5s,34,0.0s,171,0.2s,42659,42.7s,"page:0, asset:0, contentFragment:4, i18nComponentStringDict:0, assetMetaData:0, tagMetadata:0, tag:0",1,,,
2026-03-18,1,translationjob142,Ignacio Ai Translation Project,DE-DE,es_es,rmcf-ai-translatorion-connector,MACHINE_TRANSLATION,APPROVED,01:35:07.803,01:35:07.818,01:35:24.456,01:35:45.003,01:35:45.041,01:35:45.219,16638,16.6s,37200,37.2s,38,0.0s,178,0.2s,37416,37.4s,"page:0, asset:0, contentFragment:4, i18nComponentStringDict:0, assetMetaData:0, tagMetadata:0, tag:0",1,,,
2026-03-18,2,translationjob143,Ignacio Ai Translation Project,PT-PT,es_es,rmcf-ai-translatorion-connector,MACHINE_TRANSLATION,APPROVED,01:35:55.782,01:35:55.793,01:36:12.977,01:36:34.213,01:36:34.251,01:36:34.424,17184,17.2s,38431,38.4s,38,0.0s,173,0.2s,38642,38.6s,"page:0, asset:0, contentFragment:4, i18nComponentStringDict:0, assetMetaData:0, tagMetadata:0, tag:0",1,,,
2026-03-18,3,translationjob144,Ignacio Ai Translation Project,EN-US,es_es,rmcf-ai-translatorion-connector,MACHINE_TRANSLATION,APPROVED,01:36:47.251,01:36:47.264,01:37:44.967,01:38:06.891,01:38:06.950,01:38:07.195,57703,57.7s,79640,1m 19.6s,59,0.1s,245,0.2s,79944,1m 19.9s,"page:0, asset:0, contentFragment:5, i18nComponentStringDict:0, assetMetaData:0, tagMetadata:0, tag:0",1,,,
2026-03-18,4,translationjob145,Ignacio Ai Translation Project,AR-AE,es_es,rmcf-ai-translatorion-connector,MACHINE_TRANSLATION,APPROVED,01:38:24.864,01:38:24.877,01:38:40.797,01:38:59.982,01:39:00.021,01:39:00.187,15920,15.9s,35118,35.1s,39,0.0s,166,0.2s,35323,35.3s,"page:0, asset:0, contentFragment:4, i18nComponentStringDict:0, assetMetaData:0, tagMetadata:0, tag:0",1,,,
